Bus Distance (miles),Closest Store,Driving Distance (miles),Location,Percent in Poverty,Poverty Groups,School Name,Store Address,Walking Distance (miles),Zip Code,Food Desert
1.4,Fiesta Mart,1.4,Dallas,97.13,90-100,William M Anderson Elementary,"10121 E Lake June Rd, Dallas, TX 75217",1.2,75217.0,Yes
0.9,Supermercado Monterrey,0.9,Dallas,96.33,90-100,Arcadia Park Elementary School,"5306 W Davis St, Dallas, TX 75211",0.9,75211.0,No
1.7,Fiesta Mart,1.7,Dallas,96.24,90-100,"Jose ""Joe"" May Elementary School","9727 Webb Chapel Rd, Dallas, TX 75220",1.3,75220.0,Yes
1.5,Walmart Supercenter,1.5,Dallas,98.0,90-100,Bayles Elementary School,"7401 Samuell Blvd, Dallas, TX 75228",1.4,75228.0,Yes
4.6,Fiesta Mart,4.1,Dallas,86.67,80-89,W A Blair Elementary School,"2951 S Buckner Blvd, Dallas, TX 75227",3.9,75217.0,Yes
2.2,Aldi,1.6,Dallas,91.71,90-100,Annie Webb Blanton Elementary School,"2926 S Buckner Blvd, Dallas, TX 75227",1.6,75227.0,Yes
1.6,Fiesta Mart,1.5,Dallas,97.38,90-100,James Bowie Elementary School,"611 W Jefferson Blvd, Dallas, TX 75208",1.4,75203.0,Yes
1.3,Fiesta Mart,0.6,Dallas,88.86,80-89,John Neely Bryan Elementary School,"3030 S Lancaster Rd, Dallas, TX 75216",0.6,75216.0,No
0.9,Save A Lot,0.9,Dallas,70.11,70-79,Harrell Budd Elementary School,"2611 S Lancaster Rd, Dallas, TX 75216",0.9,75216.0,No
1.0,Fiesta Mart,0.8,Dallas,98.76,90-100,David G. Burnet Elementary School,"9727 Webb Chapel Rd, Dallas, TX 75220",0.7,75220.0,No
6.4,Save You More,5.9,Dallas,98.77,90-100,Rufus C Burleson Elementary School,"3540 Simpson Stuart Rd, Dallas, TX 75241",5.6,75217.0,Yes
3.2,Fiesta Mart,2.4,Dallas,98.35,90-100,W W Bushman Elementary School,"3030 S Lancaster Rd, Dallas, TX 75216",2.2,75216.0,Yes
6.1,Fiesta Mart,3.5,Dallas,93.19,90-100,Chapel Hill Preparatory School,"1235 S Josey Ln, Carrollton, TX 75006",3.5,75234.0,Yes
0.9,El Rio Grande Latin Market,1.0,Dallas,93.3,90-100,F. P. Caillet Elementary School,"10909 Webb Chapel Rd, Dallas, TX 75229",0.9,75229.0,No
0.3,Fiesta Mart,0.3,Dallas,94.44,90-100,John W Carpenter Elementary School,"2225 W Ledbetter Dr, Dallas, TX 75224",0.3,75224.0,No
1.2,Jerry's Supermarket,1.0,Dallas,92.1,90-100,C F Carr Elementary School,"1719 Singleton Blvd, Dallas, TX 75212",1.0,75212.0,No
1.2,Walmart Neighborhood Market,1.1,Dallas,85.34,80-89,Casa View Elementary School,"2275 Gus Thomasson Rd, Dallas, TX 75228",1.1,75228.0,Yes
1.0,Super 1 Foods,1.1,Dallas,88.37,80-89,Central Elementary,"125 Hall Rd, Seagoville, TX 75159",1.0,75159.0,Yes
1.2,Save A Lot,1.2,Dallas,100.0,90-100,Martin Luther King Jr. Learning Center,"3021 Martin Luther King Jr Blvd, Dallas, TX 75215",1.2,75215.0,Yes
2.3,Walmart Supercenter,1.3,Dallas,87.11,80-89,S S Conner Elementary School,"7401 Samuell Blvd, Dallas, TX 75228",1.2,75228.0,Yes
0.9,Supermercado Monterrey,0.7,Dallas,95.46,90-100,Leila P Cowart Elementary School,"1120 S Westmoreland Rd, Dallas, TX 75211",0.7,75211.0,No
0.5,Aldi,0.4,Dallas,96.01,90-100,Ignacio Zaragoza Elementary School,"4120 Gaston Ave, Dallas, TX 75246",0.4,75246.0,No
1.0,Aldi,1.2,Dallas,63.86,60-69,Everette Lee DeGolyer Elementary School,"3128 Forest Ln #245, Dallas, TX 75234",1.0,75229.0,Yes
0.6,El Rancho Supermercado,0.5,Dallas,91.59,90-100,L. O. Donald Elementary School,"4450 W Jefferson Blvd, Dallas, TX 75211",0.5,75211.0,No
0.4,Malone's Cost Plus,0.4,Dallas,90.83,90-100,Julius Dorsey Elementary School,"333 S St Augustine Dr, Dallas, TX 75217",0.4,75217.0,No
1.3,Fiesta Mart,1.2,Dallas,97.69,90-100,Paul L. Dunbar Learning Center,"3230 Martin Luther King Jr Blvd, Dallas, TX 75210",1.1,75210.0,Yes
0.8,Walmart Supercenter,0.7,Dallas,99.45,90-100,Jill Stone Elementary School at Vickery Meadow,"6185 Retail Rd, Dallas, TX 75231",0.7,75231.0,No
0.9,Save You More,0.9,Dallas,96.61,90-100,J.N. Ervin Elementary School,"3540 Simpson Stuart Rd, Dallas, TX 75241",0.8,75241.0,No
11.8,Tom Thumb,6.1,Dallas,96.11,90-100,Tom W Field Elementary School,"3757 Forest Ln, Dallas, TX 75244",4.0,75229.0,Yes
0.7,Target Grocery,0.9,Dallas,89.97,90-100,Stephen C. Foster Elementary School,"9440 Marsh Ln, Dallas, TX 75220",0.7,75220.0,No
0.4,Super Mercado El Cerrito,0.3,Dallas,89.57,90-100,Charles A. Gill Elementary School,"10880 Ferguson Rd, Dallas, TX 75228",0.2,75228.0,No
0.7,Walmart Supercenter,0.7,Dallas,90.41,90-100,Tom C Gooch Elementary School,"4122 Lyndon B Johnson Fwy, Dallas, TX 75244",0.7,75244.0,No
0.5,Fiesta Mart,0.5,Dallas,92.88,90-100,Lenore Kirk Hall Elementary School,"3434 W Illinois Ave, Dallas, TX 75211",0.5,75211.0,No
0.7,Kroger,0.8,Dallas,91.88,90-100,Margaret B. Henderson Elementary School,"752 Wynnewood Village Shopping Center, Dallas, TX 75224",0.7,75224.0,No
1.5,Kroger,2.1,Dallas,62.41,60-69,Victor H Hexter Elementary School,"10677 E NW Hwy, Dallas, TX 75238",1.5,75218.0,Yes
0.9,El Rancho Supermercado,1.0,Dallas,92.33,90-100,Larry G Smith Elementary School,"2550 Gus Thomasson Rd, Dallas, TX 75228",0.9,75150.0,No
1.7,Aldi,1.7,Dallas,97.6,90-100,C.A. Tatum Jr. Elementary School,"2926 S Buckner Blvd, Dallas, TX 75227",1.6,75227.0,Yes
0.7,El Rancho Supermercado,0.7,Dallas,97.17,90-100,Nathaniel Hawthorne Elementary School,"1515 S Buckner Blvd, Dallas, TX 75217",0.6,75217.0,No
1.4,Fiesta Mart,1.3,Dallas,93.38,90-100,James S Hogg Elementary School,"611 W Jefferson Blvd, Dallas, TX 75208",1.3,75208.0,Yes
0.2,Tom Thumb,0.2,Dallas,89.91,90-100,Lida Hooe Elementary School,"315 S Hampton Rd, Dallas, TX 75208",0.2,75211.0,No
0.7,Fiesta Mart,0.7,Dallas,99.32,90-100,L L Hotchkiss Elementary School,"6401 Abrams Rd, Dallas, TX 75231",0.7,75231.0,No
1.9,Kroger,1.4,Dallas,86.76,80-89,Sam Houston Elementary School,"4901 Maple Ave, Dallas, TX 75235",1.3,75219.0,Yes
1.7,El Rancho Supermercado,1.2,Dallas,98.08,90-100,John Ireland Elementary School,"1515 S Buckner Blvd, Dallas, TX 75217",1.2,75217.0,Yes
2.5,Save A Lot,2.2,Dallas,91.42,90-100,Cedar Crest Elementary School,"2611 S Lancaster Rd, Dallas, TX 75216",1.8,75203.0,Yes
1.3,El Rancho Supermercado,0.8,Dallas,95.87,90-100,Anson Jones Elementary School,"4450 W Jefferson Blvd, Dallas, TX 75211",0.8,75211.0,No
0.9,El Rancho Supermercado,1.0,Dallas,94.69,90-100,Edwin J Kiest Elementary School,"2550 Gus Thomasson Rd, Dallas, TX 75228",0.9,75228.0,No
1.0,Wright's Family Food Center,1.1,Dallas,89.99,90-100,Kleberg Elementary School,"1050 S Beltline Rd, Dallas, TX 75253",1.0,75253.0,Yes
2.2,Kroger,2.2,Dallas,94.44,90-100,Obadiah Knight Elementary School,"4901 Maple Ave, Dallas, TX 75235",2.1,75235.0,Yes
2.0,Tom Thumb,2.1,Dallas,68.37,60-69,Kramer Elementary,"11920 Preston Rd, Dallas, TX 75230",1.8,75230.0,Yes
2.3,Malone's Cost Plus,1.8,Dallas,95.7,90-100,Richard Lagow Elementary School,"333 S St Augustine Dr, Dallas, TX 75217",1.7,75217.0,Yes
0.6,Aldi,0.6,Dallas,80.6,80-89,Jimmie Tyler Brashear Elementary School,"2440 W Illinois Ave, Dallas, TX 75233",0.5,75224.0,No
1.0,Cox Farms Market - Dallas,0.8,Dallas,90.0,90-100,Sidney Lanier Expressive Arts Vanguard,"778 Fort Worth Ave, Dallas, TX 75208",0.7,75208.0,No
1.0,Trader Joe's,1.0,Dallas,70.75,70-79,Geneva Heights Elementary School,"2001 Greenville Ave, Dallas, TX 75206",1.0,75206.0,No
2.9,Aldi,1.8,Dallas,91.57,90-100,Umphrey Lee Elementary School,"8034 Chrysalis Dr, Dallas, TX 75237",1.7,75232.0,Yes
1.0,Whole Foods Market,0.8,Dallas,83.38,80-89,Jack Lowe Sr. Elementary School,"8190 Park Ln N Ste 351, Dallas, TX 75231",0.7,75231.0,No
1.1,Fiesta Mart,1.3,Dallas,89.19,90-100,William Lipscomb Elementary School,"5334 Ross Ave, Dallas, TX 75206",1.1,75214.0,Yes
1.1,Fiesta Mart,1.2,Dallas,90.86,90-100,H.I. Holland Elementary School at Lisbon,"3030 S Lancaster Rd, Dallas, TX 75216",1.0,75216.0,Yes
1.4,Elrod's Cost Plus Supermarket,1.4,Dallas,93.72,90-100,B.H. Macon Elementary School,"1314 S Buckner Blvd, Dallas, TX 75217",1.4,75217.0,Yes
1.2,Kroger,1.1,Dallas,97.84,90-100,Maple Lawn Elementary School,"4901 Maple Ave, Dallas, TX 75235",1.1,75235.0,Yes
0.8,Aldi,0.8,Dallas,98.57,90-100,Herbert Marcus Elementary School,"3128 Forest Ln #245, Dallas, TX 75234",0.8,75229.0,No
4.3,Fiesta Mart,3.0,Dallas,89.21,90-100,Thomas L. Marsalis Elementary School,"3030 S Lancaster Rd, Dallas, TX 75216",3.0,75241.0,Yes
1.3,Tom Thumb,1.2,Dallas,87.97,80-89,Ben Milam Elementary School,"3878 Oak Lawn Ave #180, Dallas, TX 75219",0.8,75205.0,Yes
3.3,Save A Lot,1.8,Dallas,92.22,90-100,William B. Miller Elementary School,"2611 S Lancaster Rd, Dallas, TX 75216",1.6,75216.0,Yes
1.6,Save A Lot,1.3,Dallas,91.45,90-100,Roger Q. Mills Elementary School,"2611 S Lancaster Rd, Dallas, TX 75216",1.3,75216.0,Yes
2.0,Malone's Cost Plus,2.1,Dallas,94.47,90-100,Nancy Moseley Elementary School,"333 S St Augustine Dr, Dallas, TX 75217",2.0,75217.0,Yes
7.4,Fiesta Mart,2.7,Dallas,85.57,80-89,Mount Auburn Elementary School,"5334 Ross Ave, Dallas, TX 75206",2.1,75223.0,Yes
1.7,Fiesta Mart,1.5,Dallas,89.52,90-100,Clara Oliver Elementary School,"3030 S Lancaster Rd, Dallas, TX 75216",1.5,75216.0,Yes
1.1,Super mercado Monterrey,0.8,Dallas,87.76,80-89,George Peabody Elementary School,"1120 S Westmoreland Rd, Dallas, TX 75211",0.7,75211.0,No
3.8,Fiesta Mart,2.5,Dallas,92.45,90-100,Elisha M. Pease Elementary School,"3030 S Lancaster Rd, Dallas, TX 75216",2.5,75216.0,Yes
0.4,Fiesta Mart,0.5,Dallas,95.87,90-100,John F Peeler Elementary School,"611 W Jefferson Blvd, Dallas, TX 75208",0.4,75208.0,No
1.1,Tom Thumb,1.0,Dallas,85.35,80-89,John J. Pershing Elementary School,"522 Royal Ln, Dallas, TX 75230",1.0,75229.0,No
0.9,Tom Thumb,0.9,Dallas,84.98,80-89,K. B. Polk Center for Academically Talented & Gifted,"7117 Inwood Rd, Dallas, TX 75209",0.9,75209.0,No
1.7,Tom Thumb,1.6,Dallas,82.77,80-89,Preston Hollow Elementary School,"522 Royal Ln, Dallas, TX 75230",1.6,75230.0,Yes
0.2,Target Grocery,0.3,Dallas,94.24,90-100,J. W. Ray Learning Center,"2417 N Haskell Ave, Dallas, TX 75204",0.2,75204.0,No
0.5,Fiesta Mart,0.4,Dallas,91.69,90-100,John H Reagan Elementary School,"611 W Jefferson Blvd, Dallas, TX 75208",0.4,75208.0,No
0.9,Fiesta Mart,0.9,Dallas,85.19,80-89,Martha Turner Reilly Elementary School,"11445 Garland Rd, Dallas, TX 75218",0.7,75218.0,No
0.6,Albertsons,1.0,Dallas,91.65,90-100,Reinhardt Elementary School,"320 Casa Linda Plaza, Dallas, TX 75218",0.6,75218.0,No
2.2,Save A Lot,1.6,Dallas,96.12,90-100,Joseph J. Rhoads Learning Center,"3021 Martin Luther King Jr Blvd, Dallas, TX 75215",1.5,75210.0,Yes
1.6,Save A Lot,1.7,Dallas,95.12,90-100,Charles Rice Learning Center,"3021 Martin Luther King Jr Blvd, Dallas, TX 75215",1.6,75215.0,Yes
2.2,Save A Lot,2.2,Dallas,97.54,90-100,Oran M Roberts Elementary School,"3021 Martin Luther King Jr Blvd, Dallas, TX 75215",1.9,75223.0,Yes
0.9,Tom Thumb,1.3,Dallas,77.63,70-79,Dan D Rogers Elementary School,"5809 E Lovers Ln, Dallas, TX 75206",0.9,75214.0,Yes
1.3,Tom Thumb,1.3,Dallas,75.33,70-79,Rosemont Elementary School,"315 S Hampton Rd, Dallas, TX 75208",1.3,75208.0,Yes
2.1,Save A Lot,1.7,Dallas,92.98,90-100,Clinton P. Russell Elementary School,"2611 S Lancaster Rd, Dallas, TX 75216",1.5,75224.0,Yes
1.7,Tom Thumb,1.6,Dallas,82.71,80-89,Alex Sanger Elementary School,"7331 Gaston Ave, Dallas, TX 75214",1.6,75218.0,Yes
0.3,Walmart Neighborhood Market,0.4,Dallas,98.12,90-100,San Jacinto Elementary School,"2827 S Buckner Blvd, Dallas, TX 75227",0.3,75227.0,No
2.9,Fiesta Mart,2.4,Dallas,95.42,90-100,Ascher Silberstein Elementary School,"2951 S Buckner Blvd, Dallas, TX 75227",2.4,75227.0,Yes
2.4,Grocery Clearance Center,1.0,Dallas,94.3,90-100,Leslie A. Stemmons Elementary School,"3107 S Cockrell Hill Rd, Dallas, TX 75236",1.0,75211.0,No
0.1,Aldi,0.1,Dallas,92.72,90-100,Stevens Park Elementary School,"2505 Fort Worth Ave, Dallas, TX 75211",0.1,75211.0,No
2.3,Fiesta Mart,1.9,Dallas,58.7,50-59,Harry Stone Montessori,"3030 S Lancaster Rd, Dallas, TX 75216",1.9,75216.0,Yes
1.2,Cash Saver,1.1,Dallas,93.25,90-100,T.G. Terry Elementary School,"1201 W Camp Wisdom Rd, Dallas, TX 75232",1.0,75232.0,Yes
4.6,Save You More,3.7,Dallas,85.25,80-89,Robert L. Thornton Elementary School,"3540 Simpson Stuart Rd, Dallas, TX 75241",2.9,75241.0,Yes
3.3,Aldi,2.2,Dallas,83.59,80-89,Edward Titche Elementary School,"2926 S Buckner Blvd, Dallas, TX 75227",2.0,75227.0,Yes
2.0,Albertsons,1.9,Dallas,93.94,90-100,George W Truett Elementary School,"320 Casa Linda Plaza, Dallas, TX 75218",1.9,75228.0,Yes
2.3,Walmart Supercenter,2.0,Dallas,84.66,80-89,Adelle Turner Elementary School,"200 Short Blvd, Dallas, TX 75232",1.6,75232.0,Yes
1.2,Walmart Supercenter,0.9,Dallas,90.94,90-100,Mark Twain Leadership Vanguard,"200 Short Blvd, Dallas, TX 75232",0.9,75232.0,No
1.9,Fiesta Mart,1.9,Dallas,96.27,90-100,Urban Park Elementary School,"2951 S Buckner Blvd, Dallas, TX 75227",1.8,75227.0,Yes
1.3,El Rancho Supermercado,1.3,Dallas,83.2,80-89,Walnut Hill Elementary School,"10020 Marsh Ln #200, Dallas, TX 75254",1.1,75229.0,Yes
0.7,Fiesta Mart,0.9,Dallas,93.96,90-100,Daniel Webster Elementary School,"2225 W Ledbetter Dr, Dallas, TX 75224",0.7,75233.0,No
2.3,Aldi,2.1,Dallas,95.99,90-100,Martin Weiss Elementary School,"8034 Chrysalis Dr, Dallas, TX 75237",1.9,75232.0,Yes
1.1,Trader Joe's,1.4,Dallas,90.81,90-100,Sudie L. Williams TAG Academy,"5550 W Lovers Ln Ste 168, Dallas, TX 75209",1.1,75209.0,Yes
